yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
东兴证券股份有限公司宁德蕉城北路证券营业部,2,2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-05
东兴证券股份有限公司客户资产管理部,1,2016-06-06,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-06-06
东兴证券股份有限公司将乐府前东路证券营业部,4,2015-12-09,0,0,0,0,0,0,0,0,0,0,0,1,3,2016-08-19
东兴证券股份有限公司广州珠江东路证券营业部,7,2016-03-09,0,0,0,0,0,0,0,0,0,0,0,0,7,2016-08-24
东兴证券股份有限公司惠安建设南路证券营业部,34,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,1,33,2016-08-09
东兴证券股份有限公司成都都江堰市迎宾路证券营业部,5,2015-12-07,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-04-22
东兴证券股份有限公司成都锦东路证券营业部,2,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-02-23
东兴证券股份有限公司新疆分公司,3,2015-11-02,0,0,0,0,0,0,0,0,0,0,0,2,1,2016-01-14
东兴证券股份有限公司晋江和平路证券营业部,7,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,6,1,2016-04-12
东兴证券股份有限公司杭州凤起路证券营业部,17,2015-09-29,0,0,0,0,0,0,0,0,0,0,0,7,10,2016-08-24
东兴证券股份有限公司武汉台北一路证券营业部,45,2016-02-04,0,0,0,0,0,0,0,0,0,0,0,0,45,2016-08-26
东兴证券股份有限公司永安牺和路证券营业部,23,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,4,19,2016-09-01
东兴证券股份有限公司沈阳惠工街证券营业部,2,2016-04-18,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-30
东兴证券股份有限公司沙县府西路证券营业部,1,2015-12-31,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-12-31
东兴证券股份有限公司泉州温陵北路证券营业部,73,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,23,50,2016-09-02
东兴证券股份有限公司泉州田安路证券营业部,12,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,6,6,2016-06-21
东兴证券股份有限公司深圳中兴路证券营业部,8,2016-01-13,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-08-25
东兴证券股份有限公司漳州南昌中路证券营业部,15,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,2,13,2016-07-12
东兴证券股份有限公司石狮八七路证券营业部,5,2015-12-08,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-08-10
东兴证券股份有限公司福州五一中路证券营业部,77,2015-10-09,0,0,0,0,0,0,0,0,0,0,0,20,57,2016-08-25
东兴证券股份有限公司福州五一北路证券营业部,32,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,11,21,2016-09-01
东兴证券股份有限公司福州五四路证券营业部,19,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,12,7,2016-08-30
东兴证券股份有限公司福州学军路证券营业部,34,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,7,27,2016-08-01
东兴证券股份有限公司福州斗西路证券营业部,13,2015-11-02,0,0,0,0,0,0,0,0,0,0,0,5,8,2016-08-17
东兴证券股份有限公司福州杨桥中路证券营业部,12,2015-10-23,0,0,0,0,0,0,0,0,0,0,0,1,11,2016-05-18
东兴证券股份有限公司福州江厝路证券营业部,37,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,7,30,2016-08-15
东兴证券股份有限公司福清一拂路证券营业部,12,2015-11-27,0,0,0,0,0,0,0,0,0,0,0,3,9,2016-08-03
东兴证券股份有限公司莆田梅园东路证券营业部,253,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,48,205,2016-09-02
东兴证券股份有限公司邵武五一九路证券营业部,93,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,10,83,2016-09-02
东兴证券股份有限公司郑州商务外环路证券营业部,3,2015-10-29,0,0,0,0,0,0,0,0,0,0,0,1,2,2016-08-18
东兴证券股份有限公司重庆邹容路证券营业部,5,2015-11-23,0,0,0,0,0,0,0,0,0,0,0,4,1,2016-01-13
东兴证券股份有限公司长乐郑和路证券营业部,10,2015-11-05,0,0,0,0,0,0,0,0,0,0,0,4,6,2016-07-19
东兴证券股份有限公司长沙韶山北路证券营业部,3,2016-01-26,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-08-01
东兴证券股份有限公司龙岩九一北路证券营业部,2,2016-06-23,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-07-15
东兴证券股份有限公司龙海公园路证券营业部,88,2015-10-09,0,0,0,0,0,0,0,0,0,0,0,3,85,2016-08-30
东北证券股份有限公司,4,2016-02-16,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-08-16
东北证券股份有限公司上海世纪大道证券营业部,6,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,3,3,2016-03-25
东北证券股份有限公司上海南奉公路证券营业部,1,2015-12-22,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-12-22
东北证券股份有限公司上海局门路证券营业部,51,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,16,35,2016-07-18
东北证券股份有限公司上海普陀区武宁路证券营业部,1,2016-03-09,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-03-09
东北证券股份有限公司上海永嘉路证券营业部,11,2015-12-23,0,0,0,0,0,0,0,0,0,0,0,1,10,2016-09-02
东北证券股份有限公司上海洪山路证券营业部,34,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,17,17,2016-09-01
东北证券股份有限公司上海虹口区吴淞路证券营业部,23,2016-02-26,0,0,0,0,0,0,0,0,0,0,0,0,23,2016-08-31
东北证券股份有限公司上海迎春路证券营业部,13,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,5,8,2016-09-02
东北证券股份有限公司九台站前路证券营业部,4,2015-11-11,0,0,0,0,0,0,0,0,0,0,0,1,3,2016-05-27
东北证券股份有限公司农安利民路证券营业部,2,2016-05-17,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-09
东北证券股份有限公司北京三里河东路证券营业部,6,2015-11-09,0,0,0,0,0,0,0,0,0,0,0,3,3,2016-09-01
东北证券股份有限公司北京朝外大街证券营业部,17,2015-10-27,0,0,0,0,0,0,0,0,0,0,0,7,10,2016-08-29
东北证券股份有限公司南京中山北路证券营业部,3,2016-03-09,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-05-23
东北证券股份有限公司南京标营路证券营业部,4,2015-11-02,0,0,0,0,0,0,0,0,0,0,0,1,3,2016-05-26
东北证券股份有限公司南宁双拥路证券营业部,1,2016-05-04,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-05-04
东北证券股份有限公司南昌阳明路证券营业部,10,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,7,3,2016-04-21
东北证券股份有限公司合肥芜湖路证券营业部,3,2016-02-18,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-05-03
东北证券股份有限公司吉林光华路证券营业部,1,2016-03-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-03-15
东北证券股份有限公司吉林遵义东路证券营业部,8,2015-09-15,0,0,0,0,0,0,0,0,0,0,0,1,7,2016-07-26
东北证券股份有限公司四平中央东路证券营业部,2,2016-01-06,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-03-29
东北证券股份有限公司四平爱民路证券营业部,5,2015-10-09,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-04-29
东北证券股份有限公司大连花园广场证券营业部,5,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-04-29
东北证券股份有限公司天津西市大街路证券营业部,2,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-05-20
东北证券股份有限公司太原桃园北路证券营业部,2,2016-05-13,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-10
东北证券股份有限公司宁波江安路证券营业部,2,2016-02-23,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-07-06
东北证券股份有限公司常州花园街证券营业部,9,2016-01-27,0,0,0,0,0,0,0,0,0,0,0,0,9,2016-08-04
东北证券股份有限公司广州东风东路证券营业部,5,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,2,3,2016-02-24
东北证券股份有限公司广州南沙金沙路证券营业部,2,2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-01
东北证券股份有限公司延吉光明街证券营业部,4,2015-09-24,0,0,0,0,0,0,0,0,0,0,0,3,1,2016-07-27
东北证券股份有限公司德惠德惠路证券营业部,5,2016-06-21,0,0,0,0,0,0,0,0,0,0,0,0,5,2016-06-30
东北证券股份有限公司总部,4,2016-01-12,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-08-25
东北证券股份有限公司抚松小南街证券营业部,2,2016-08-08,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-08
东北证券股份有限公司敦化证券营业部,3,2016-02-22,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-02-29
东北证券股份有限公司晋江长兴路证券营业部,4,2015-12-02,0,0,0,0,0,0,0,0,0,0,0,2,2,2016-08-22
